Радушие;+7 (499) 653–50–80
Чехов Хауз Хостел;+7–910–480–14–14
ЧЕК-ИН, ООО;+7 (495) 909–86–69
Капсула Отель;+7–903–965–87–10
Axel Hostel;+7–926–277–33–33
YES;+7 (495) 055–04–99
HotelHot;8–800–500–32–28
Loft Hostel77;+7 (499) 110–42–28
Jolly;+7 (495) 921–50–60
Арбат 25;+7 (495) 609–96–72
Nice Hostel Belorusskaya;+7 (495) 252–77–52
Внуково;+7 (499) 390–18–12
Sky Hostel Sheremetyevo;+7–925–088–17–57
Гнездо Сокол;+7–925–925–62–02
Light Dream;+7 (499) 347–27–82
Nice hostel Mayakovskaya;+7 (499) 755–85–33
Star Wars hostel;+7–968–958–06–98
Новая Писцовая;+7–916–232–88–83
Малинка;+7 (495) 799–77–39
FriendHouse;+7–910–001–37–21
Старый Арбат;+7 (495) 691–55–77
АВИАТОР;+7–966–141–18–18
LOFTy;+7 (495) 066–04–99
InterQUBE;+7 (495) 152–04–50
City Hostel;+7 (495) 118–23–04
Уютный;+7–903–188–77–30
Landmark City Hostel;+7 (499) 653–77–69
Хостел;+7–910–447–49–19
CATS;+7–965–146–10–12
Мои Друзья на Курской;+7–905–776–27–40
Овертайм;+7–926–309–91–41
Найс Красные Ворота;+7–925–379–02–57
HotHos;+7 (495) 123–56–26
Фьюжн;+7–985–480–48–05
Маяковская;+7–964–582–24–88
ОЛИМПИЯ;+7 (499) 530–33–54
СВК;+7 (495) 727–73–54
Eco Hostel;+7–901–733–70–23
Гай-Дай;+7 (495) 771–21–04
3 пингвина;+7–910–446–17–78
БРО;+7–915–271–88–93
Bed & Beer;+7–926–255–74–67
Sputnik hostel & personal space;+7–999–850–44–16
Capsule hostel in Moscow;+7–916–566–62–18
Drop Inn;+7–985–874–16–30
Усадьба на Таганке;+7 (495) 432–10–99
Братиславская-6;+7 (495) 120–50–22
Ideal Mini Hotel;+7–903–728–28–51
Jazz House;+7–903–722–40–84
Арбат 42;+7–906–068–79–19
Landmark Guest House;+7–985–286–87–77
Хостелы Рус;8–800–500–61–73
Полянка;+7–985–016–75–55
Хостел Астра На Басманном;+7–929–522–02–32
Авиатор на Пушкинской;+7 (495) 798–61–12
КРОКУС;+7–968–439–00–63
Moscow Friends;+7 (499) 577–03–56
Ester House;+7 (495) 730–54–43
Friendly Home;+7–929–548–78–52
ALL MUSIC;+7 (495) 745–29–90
Республика;+7–966–025–04–17
Циолковский;+7 (495) 409–67–57
Красная Москва;+7–916–742–72–20
Red Hostel;+7–985–729–18–00
Шаболовка;+7–929–903–18–79
Прованс;+7 (495) 650–23–74
HQ;+7–903–002–45–37
Dom;+7–916–671–01–20
Лайм;+7–968–708–03–03
Есенин;+7–999–818–54–29
ONE Кузнецкий Мост;+7–916–134–99–34
Arena Hostel;+7–915–368–84–51
Голливуд;+7 (499) 553–08–73
Сова;+7–968–896–88–75
У метро Дмитровская;+7 (495) 369–48–05
Гостиничный проезд;+7–917–585–52–10
Три Звезды;+7–917–543–60–00
The Makarov;8–800–551–10–07
Hostel EXPO;+7–977–396–12–13
Travel Hostel;+7 (495) 118–31–92
МойХостел;+7–967–055–55–21
Кремлевский;+7–929–645–24–34
НООСФЕРА;+7 (499) 705–01–33
Китай-Город;+7–906–535–34–08
Лен Инн Люкс;+7–929–500–46–65
Полянка на Чистых прудах;+7–925–113–93–48
World Hostel;+7–985–124–14–21
Come & Sleep;+7–909–903–58–21
123hostel.ru;+7–926–3–123–123
ХОСТЕЛ ГРУПП ПАРТИЗАНСКАЯ, ООО;+7–963–553–19–78
15 республик;+7–916–016–63–21
Hostelberry;+7 (495) 540–49–90
МосХостел, ООО;+7–985–625–62–55
GOROD Patriarshi;+7 (499) 390–90–43
Автор Таганка;+7–985–573–03–30
Точка;+7–925–277–62–59
Позитив;+7–915–103–63–99
Покровка Street;+7–977–600–19–19
Старт;+7–916–756–13–52
LittleHotel;+7–925–041–72–48
У ВДНХ;+7–916–657–60–04
Орион;+7–916–669–91–96
Fabrika Hostel & Gallery;+7 (495) 506–10–91
География Успеха;+7 (499) 899–39–36
InterQube;+7 (499) 112–13–55
Алтай;+7 (495) 482–02–67
Медовый;+7 (495) 481–29–31
Счастливые Люди;+7 (495) 741–98–56
Коньково;+7–977–338–38–62
Илиан;+7–985–120–88–12
Lana;+7–925–070–99–76
Nice hostel;+7–968–777–75–50
Хостел 42;+7–965–339–42–42
Империя на Павелецкой;+7 (499) 391–44–48
1 Мая;+7 (495) 780–44–88
Женский хостел;+7–966–157–63–53
ФилосоФ;+7–977–542–42–20
Уютная компания;+7–958–582–61–56
Coast;+7 (495) 633–09–84
Fresh Hostel;+7–967–037–13–14
Симони;+7–926–862–22–99
На Нахимовском проспекте;+7–985–359–39–29
Сетунь;+7–906–782–06–25
Mich;+7–968–768–85–00
Панда;+7–985–226–50–46
Кино;+7–903–227–37–17
Хостелы Рус-Бакунинская;+7–977–560–61–25
Французоff;+7 (499) 130–91–08
ПараТапок;+7 (499) 250–53–03
Sun;+7 (499) 264–88–66
Dream Place Hostel;+7 (499) 973–38–33
Эрэл;+7 (495) 389–01–44
Бумеранг;+7–968–489–25–56
Вежливый лось;8–800–302–02–38
Хостелы Рус;+7–968–733–49–06
Слип Лэнд;+7 (495) 135–39–80
Cinema Hostel;+7 (495) 137–74–21
Green hostel;+7–925–131–25–39
Звезда;+7–985–270–81–17
Любимый;+7–977–747–94–14
all bears hostel;+7 (499) 404–21–34
Дворик;+7–926–180–79–52
На Бутлерова;+7 (495) 335–50–52
Шестое Чувство;+7–915–086–66–88
Boxhostels;+7–926–312–60–95
Сколково;+7–999–907–16–00
SIBERIA;+7 (495) 621–65–75
Мята;+7 (495) 133–90–35
Париж;+7–906–703–63–47
Hostel Rassvet;+7–901–769–32–34
Ника-Сити;+7 (495) 438–73–20
Чемпион;+7 (499) 397–00–78
Свиблово-Хостел;+7–965–299–79–93
Наш Хостел;+7–916–733–37–18
Absolut;8–800–234–68–69
Субмарина, ООО;+7–977–521–24–78
Гостевой дом;+7 (495) 625–27–05
Crocus Hostel;+7–968–787–88–57
JAZZ HOSTEL;+7–903–611–67–34
У трех вокзалов;+7–926–770–64–71
Останкино;+7–916–081–70–54
САКУРА;+7 (499) 264–39–98
Общежитие на Бауманской;+7–929–668–55–98
Зонт и Шляпа;+7 (495) 532–33–32
108 Минут;+7–929–589–54–09
Благовест;+7–925–525–86–30
Парус;+7 (495) 708–37–38
У башни;+7–926–572–10–20
Марианна;+7 (495) 517–18–57
Хостел Рус-Таганка;+7 (495) 991–03–52
Hostel Himki;+7–985–615–40–10
Калибр;+7–909–629–40–74
Свои люди;+7–916–116–50–16
BARABAN HOSTEL;+7 (499) 455–18–76
Бункер;+7–925–611–26–52
HomeBox;+7 (495) 115–02–45
Добрый;+7–977–881–03–07
#MainHostels;+7–985–171–08–08
Арал;+7 (495) 645–82–82
Хостел на Баумонской;+7–977–872–74–76
Крылатское Осенний;+7–985–137–70–70
Пилигрим;+7–929–698–20–10
Нафаня;+7–925–849–84–33
Салат;+7–985–251–89–60
Атлантис+;+7–903–755–17–28
Дельта;+7–966–349–88–99
Вавилон 15;+7–963–784–02–02
Hype;+7–916–252–51–55
СКАЛА;+7–963–711–29–64
Большая Семья;+7–926–108–79–59
Мякинино-Домашний;+7–977–565–45–27
На Алексеевской;+7–903–787–60–26
Мастер;+7–985–993–96–16
Дом197;+7 (495) 778–15–15
Аэропорт;+7–985–361–49–72
Олимп;+7–906–016–33–33
Электрозаводская;+7–926–880–55–38
ОбщагiN;+7–903–363–78–22
Only hostel;+7–966–115–55–01
ГрадСтрой;+7–968–837–79–97
Люблино;+7 (495) 351–10–70
Big Key;+7 (495) 979–12–58
Skyrooms;+7–929–665–03–99
Москвич;+7–917–567–35–58
MG;+7–910–487–80–80
Славянка;+7 (495) 782–32–95
На чемоданах;+7 (495) 195–27–74
Горница;+7–968–613–70–31
Диана;+7–968–525–88–55
SLOBODA;+7–926–878–90–98
365 hostel;+7–985–100–25–94
Арт-Отель;+7–964–711–11–88
у метро Шаболовская;+7–926–282–22–08
Hostel Novoslobodskaya10;+7–985–861–50–52
Петровско-Разумовская;+7–925–160–86–58
Огни столицы;+7–968–787–98–88
Академ;+7–926–071–42–42
HOSTEL PERESVET;+7–968–425–15–95
Orange;+7–961–591–80–28
Заречье, ООО;+7 (495) 550–90–44
Бэлль;+7–963–714–18–00
Hostel77;+7 (495) 968–23–07
Welcome;+7–915–441–92–42
Nice Hostel на Олимпийском;+7–925–600–27–28
МАЛЕНЬКАЯ ВЕГА, ООО;+7–985–644–74–94
Full House;+7–963–757–44–36
21/2;+7 (495) 968–03–02
ЛидерМос;+7–985–767–27–37
Впечатление;+7–915–086–66–88
Гостевой Дом Нагатино;+7–925–546–59–99
The Secret Place;+7–963–975–13–44
Регион Групп, ООО;+7 (495) 125–11–14
Пятницкий;+7–905–797–55–56
Sleep & Go;+7 (495) 208–29–54
Бальмонт;+7 (495) 607–01–73
Сеть общежитий;+7 (495) 961–13–57
Юность, ООО;+7 (495) 582–07–84
Мини-отель;+7–929–903–18–79
Отрадное;+7–916–231–31–17
LIVE;+7–917–540–88–17
Перово;+7–985–015–00–07
Звезда;+7–925–518–40–23
Юнион Хостел;+7–903–136–08–49
Кузьминки;+7–929–683–73–07
Волга;+7–925–230–44–41
Sity;+7–925–725–96–48
Tverskaya street;+7 (499) 530–11–89
Себино;+7–967–022–37–00
Второй дом;+7–926–333–29–15
Берта;+7–925–858–65–90
Гнездо Новослободская;+7–985–993–11–01
Волга;+7 (499) 495–11–54
Медуза в Котельниках;+7–925–919–77–81
Сирень;+7–985–184–38–26
Уютное местечко;+7 (499) 160–17–82
Уют;+7–985–001–37–77
Capital Guesthouse;+7–985–171–90–95
Общежитие;+7–985–391–27–61
Майн Рид;+7–916–547–35–99
Валдай;+7 (499) 737–89–42
Пять-Сто Лиц;+7–925–488–73–27
Уютный дом;+7–929–663–39–33
Хостел Star-Мякинино;+7–977–977–19–88
Общежитие №37;+7 (499) 780–37–38
Лофт;+7–999–960–85–63
Shelter;+7–963–782–89–68
Атмосфера;+7–968–724–09–69
Аквариум;+7–916–069–89–91
Luna;+7–926–859–08–96
Живем Вместе;+7 (495) 181–30–38
7skyhostel;+7–926–144–92–44
ДоброХостел;+7–963–720–21–32
ВадиВад;+7 (499) 976–87–89
СветЛенд;+7 (495) 997–00–39
Булатоff;+7 (495) 710–04–49
ЕвроХостел;+7 (495) 587–42–52
Сокольники;+7–925–569–45–94
Комфорт;+7–985–206–68–67
Вгостях;+7–903–003–00–56
Хостел на Сретенке;+7–929–684–97–11
Общежитие;+7–916–386–20–55
Хостел на Багратионовской;+7–926–730–55–42
Дмитровка;+7–915–415–85–96
Интерхостел;+7 (495) 215–28–33
Радужный;+7–985–443–10–04
Жулебино;+7 (495) 181–05–09
На Войковской;+7–915–179–90–29
Center;+7–903–776–39–90
1000 и 1 ночь;+7–925–230–44–41
Прибрежная;+7–909–933–89–38
У Усатого;+7–999–878–83–29
Товарищ;+7–985–191–37–30
Примавера;+7–969–160–04–09
Hostel-House.ru;+7–916–276–86–24
на ВОЛГИНА;+7–985–336–80–12
KUZYA HOSTEL;+7–925–054–07–74
Мякинино;+7–929–680–00–50
ОТЕЛЬ ПЛЮС;+7–968–438–74–78
HostelKuzmich;+7–925–862–08–67
Тайм на Тульской;+7 (495) 142–49–20
Зодиак;+7–925–507–34–44
Водный;+7 (495) 350–80–56
Общежитие;+7–968–950–03–14
Управ-дом.com;+7 (495) 258–81–33
Kokos;+7–915–355–08–74
Камчатка;+7–962–911–07–70
Общежитие на Чистова;+7–967–272–88–68
Три звезды;+7 (495) 585–23–33
Как Дома;+7–968–806–33–00
Маяковская;+7 (495) 107–06–78
Лефортовский;+7–985–724–39–25
Большая семья;+7–968–493–23–91
Общежитие;+7–910–002–27–37
Хостел на Текстильщиков;+7–916–847–44–47
Рациональ;+7–985–137–70–70
Мосотель;+7–926–941–05–35
Мосотель;+7–968–644–98–61
Уют;+7–985–682–40–19
БМ Hostel;+7 (499) 340–61–17
Корона;+7 (495) 610–13–79
Олимп;+7–925–132–00–02
Памир Альянс;+7–903–130–88–44
УЮТ;+7–925–000–58–05
Гости;+7–985–032–48–48
#FRENDZONA;+7–925–613–00–13
Общежитие №10;+7 (495) 551–40–33
Хостел;+7–903–968–42–68
ЭК, ООО;+7–916–078–81–82
ПЕГАС, ООО;+7–906–777–37–66
777;+7 (495) 542–13–51
Евродом;+7–926–821–11–11
Hostels Best;+7–925–935–27–15
Депо;+7–977–330–78–12
Ромашка;+7–985–852–74–31
ЕвроУют;+7 (495) 122–20–14
Атмосфера;+7 (499) 390–13–41
Круг;+7–925–712–76–57
ПРОГРЕСС, ООО;+7–977–532–73–98
Мила Энергия;+7–985–859–00–59
Городок;+7–967–002–02–58
Наш Город;+7–929–562–83–65
ВлаСэр;+7 (495) 972–70–93
Эверест;+7–926–212–28–02
СтройХостел;+7–985–161–68–30
Гермес;+7–916–777–85–68
Оазис, ООО;+7–926–532–97–77
Good Life;+7–909–993–99–26
Бенефит Сервис, ООО;+7–967–004–56–50
Монарх;+7–925–303–12–13
Хостел Медведково;+7–985–770–22–33
Теремок;+7–963–997–96–99
Успех-Подольск;+7–925–017–00–08
Гармоника;+7–916–921–87–77
Нет-дома;+7 (495) 979–77–77
Антей-2000, ООО;+7 (495) 728–35–28
Modern-Hostel;8–800–707–71–68
ЦНИИМАШ;+7 (495) 513–45–89
Рус-Аннино;+7–916–407–72–77
Феникс;+7 (495) 788–34–17
КУБРИК, ООО;+7–992–8888–203
Хостел на Павелецкой;+7–916–058–92–09
S hostel;+7–925–700–25–59
Домашний;+7–910–417–82–06
СОВЫ НЕЖНЫЕ;+7–966–300–57–03
МАКС;+7–925–086–26–26
МЕГА-Хостел;+7–925–357–75–12
МАЛИНА;+7–925–323–53–77
Мираж;+7–916–841–11–14
БУЛЬВАР ОТЕЛЬ, ООО;+7–915–488–02–28
Хостел на Филевском парке;+7–909–686–23–99
ОАЗИС;+7–926–743–04–87
Southhouse;+7 (495) 908–92–75
Общежитие;+7 (499) 324–87–94
Аврора;+7–985–461–49–60
Общежитие для рабочих;+7–916–655–20–00
Общежитие;+7–916–737–32–11
Купе;+7–915–486–14–27
Ботаника;+7–929–517–15–31
Уют;+7–939–888–80–87
Васильцовский хостел;+7 (499) 796–16–60
Зеленый хостел;+7–915–430–65–56
hostel 177;+7–910–009–29–89
Комфорт;+7 (499) 408–15–66
Хостел на Красносельской;+7–968–908–05–50
Хостел;+7–964–501–94–08
Эверест;+7–965–281–70–43
Лев;+7–915–065–74–00
Чермоевский;+7–985–500–13–90
Виктори;+7–916–747–46–64
СТРОЙ ДОМ;+7 (495) 795–53–75
Олимп, ООО;+7 (499) 922–05–41
AntHill;+7–968–096–42–27
Салют;+7–916–872–99–49
Уют;+7 (499) 558–16–77
Вокруг Света;+7–925–277–74–11
Общежитие №8;+7 (495) 551–26–09
Союздобрострой, ООО;+7–968–552–58–77
Айрисс;+7–963–727–67–48
Хостел;+7–963–666–55–54
ГИГХС, ФГУП;+7 (495) 554–42–44
Добро Бобра;+7–915–048–03–51
Светофор;+7–985–428–54–52
Московская звезда;+7–909–937–37–57
Уютный;+7–916–875–80–26
Селви;+7–967–197–33–16
ЛИМ;+7–985–336–31–40
Мистер Хостел;+7–977–596–74–16
Лабораторно-исследовательский центр, ГУП;+7 (495) 993–51–66
Кристалл, ООО;+7–925–629–23–23
Коjко;+7–985–258–02–40
Реутовский дворик;+7 (495) 528–35–61
На Фестивальной;+7 (495) 798–48–24
Надежда;+7–903–279–56–06
Мини-хостел;+7–926–111–91–93
Zheldor Hostel;+7 (499) 110–20–95
Атэкс, ФГУП;+7 (495) 554–20–71
Пилигрим;+7 (495) 221–84–91
АЙ ДЖИ ХЕЛП, ООО;+7–926–174–89–36
SV;+7 (495) 358–43–00
Комфорт;+7 (495) 743–00–88
Город;+7–903–125–07–48
Город;+7–925–361–45–92
MARS;+7–969–113–00–00
Альянс Групп, ООО;+7–968–531–77–60
Lighthost;+7–929–606–16–66
ВестХаус, ООО;+7–926–674–77–82
Green point;+7–926–961–16–99
Общежитие на Буракова;+7 (495) 268–08–38
Паприка;+7–930–000–55–59
Радиус ВДНХ;+7–916–541–92–99
Всем дом;+7–925–725–77–47
Хостел;+7–929–525–70–06
Хостел на Ижорке;+7–926–847–27–17
У Галины;+7–964–574–14–95
Хостел;+7–925–868–33–73
Альянс Деловых Людей, ООО;+7–903–711–97–83
Хостел на Сходненской;+7–926–931–22–27
Пушкино;+7 (495) 769–98–89
Пушкино-Комфорт;+7 (495) 646–83–43
Хостел Рус Русаковская Набережная;+7–977–925–08–00
Е-95;+7–925–357–75–12
Cosy Hostel;8–800–550–96–27
Уют;+7 (495) 516–51–55
Сатурн;+7 (495) 997–33–40
Мотель на Белокаменном, ООО;+7–916–382–40–65
Ambrosia;+7–915–102–72–27
Мосэнергомонтаж, ОАО;+7 (495) 577–12–01
Добрый Кот;8–800–775–42–95
Нагатинский;+7–968–330–57–77
